spi_rank,continent,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
96,South America,Guyana,65.54,78.58,60.66,57.37,83.32,87.18,83.84,59.99,79.52,64.03,49.79,49.3,82.99,57.48,49.54,39.46
97,Asia,West Bank and Gaza,65.19,78.13,65.58,51.85,91.28,74.68,87.07,59.52,84.15,68.43,61.42,48.32,60.79,55.09,35.46,56.05
98,Africa,Ghana,64.8,69.14,63.27,62,79.67,73.11,66.21,57.55,70.68,76.12,52.23,54.06,80.54,59.09,61.68,46.68
99,North America,El Salvador,64.42,78.57,62.97,51.73,86.19,82.06,88.21,57.81,64.62,73.3,60.95,53.03,64.38,58.03,44.03,40.47
100,Africa,Morocco,64.04,81.05,59.9,51.17,89.62,81.64,89.62,63.33,62.59,77.76,49.71,49.52,62.59,59.47,34.3,48.31
101,Asia,Saudi Arabia,63.89,83.37,66.37,41.92,91.23,96.18,93.78,52.31,82.32,80.11,72.83,30.21,22.5,66.03,19.05,60.12
102,Asia,Iran,63.72,79.83,66.51,44.82,93.97,87.15,83.36,54.83,81.52,72.13,64.18,48.2,38.97,51.4,30.11,58.78
103,Asia,Azerbaijan,63.26,84.54,62.87,42.37,91.83,83.27,92.41,70.64,81.05,75.56,42.76,52.09,39.48,53.1,31.15,45.75
104,Africa,Sao Tome and Principe,62.49,72.75,56.56,58.14,80.71,89.29,61.33,59.68,69.55,48.6,51.47,56.63,88.19,59.87,53.35,31.16
105,Africa,Gabon,62.18,67.17,59.62,59.74,76.18,68.79,80.92,42.8,74.87,66.75,45.55,51.31,69.06,58.7,63.45,47.77
106,Africa,Namibia,62,62.33,62.29,61.38,71.99,69.16,60.65,47.53,74.06,67.91,48.26,58.92,83.91,68.9,50.33,42.39
107,North America,Honduras,61.17,75.76,56.45,51.3,81.44,86.11,74.15,61.33,61.96,55.95,50.33,57.54,73.95,56.24,35.58,39.44
108,North America,Nicaragua,60.23,74.79,66.33,39.57,79.25,82.63,78.06,59.2,75.01,61.47,65.26,63.57,36.91,56.47,34.18,30.73
109,North America,Guatemala,60.21,72.35,61.69,46.6,75.74,75.92,78.92,58.81,67.06,69.1,55.13,55.46,67.84,55.01,26.58,36.98
110,Asia,India,60.19,73.8,52,54.77,72.22,80.47,81.43,61.08,58.32,70.42,51.39,27.86,69.13,56,44.97,49
111,Asia,Nepal,59.39,74.59,50.16,53.42,78.94,78.76,72.16,68.51,56.05,61.6,49.77,33.22,73.36,51.16,51.26,37.91
112,Asia,Timor-Leste,58.92,64.27,57.9,54.58,64.07,65.6,65.75,61.67,59.96,63.27,45.2,63.17,76.74,56.7,50.24,34.66
113,Africa,Egypt,58.73,80.64,51.11,44.45,90.84,86.25,87.25,58.2,76.56,66.66,40.89,20.35,43.67,61.18,20.37,52.58
114,South America,Venezuela,58.62,71.77,57.96,46.12,80.31,76.44,84.19,46.12,73.68,47.29,49.07,61.82,41.26,59.58,43.53,40.14
115,Africa,Kenya,57.96,58.81,61.49,53.59,66.81,62.47,58.55,47.42,65.49,67.56,50.16,62.73,72.84,62.24,36.88,42.39
116,Africa,Senegal,57.7,65.39,52.8,54.91,74.56,66.48,58.74,61.78,38.69,67.79,48.28,56.45,80.74,52.06,53.59,33.24
117,Asia,Iraq,56.82,72.9,54.32,43.25,80.48,74.09,87.39,49.64,64.35,66.16,55.14,31.65,46.04,46.77,27.62,52.56
118,Asia,Turkmenistan,56.75,81.71,58.07,30.46,89.94,77.35,91.77,67.77,87.42,43.84,50.19,50.82,15.95,58.16,26.54,21.19
119,Asia,Bangladesh,56.06,72.64,55.09,40.45,74.57,85.56,73,57.44,65.54,61.93,52.99,39.9,51.64,51.27,21.32,37.56
120,Asia,Tajikistan,56.05,80.84,56.59,30.72,84.43,85.09,89.04,64.79,87.78,50.17,49.59,38.83,20.88,52.13,16.29,33.58
121,Asia,Cambodia,55.71,69.37,55.58,42.17,75.76,69.13,68.66,63.95,53.83,54.81,52.76,60.93,43.88,57.59,35.4,31.8
122,Africa,Benin,55.59,55.33,55.41,56.02,64.76,57.39,44.2,54.98,56.71,59.75,49.36,55.82,76.98,46.6,64.83,35.66
123,Africa,Tanzania,54.87,54.97,58.49,51.14,66.65,57.39,45.6,50.23,61.08,57.55,53.31,62.03,65.57,54.69,50.48,33.84
124,Africa,The Gambia,54.68,62.07,49.97,52.01,65.05,71.92,49.3,61.99,54.96,51.47,42.24,51.2,78.81,48.36,48.07,32.8
125,Africa,Malawi,54.29,55.69,52.8,54.36,68.56,64.66,36.02,53.52,62.28,40.88,44.75,63.3,83.46,59.09,41.12,33.79
126,Africa,Libya,54.28,75.68,46.18,40.98,89.22,87.77,75.54,50.18,60.96,25.67,50.72,47.37,39.46,45.59,29.51,49.35
127,Africa,Côte d'Ivoire,54.01,60.54,53.29,48.2,66.16,64.64,57.05,54.32,51.5,61.25,41.97,58.44,68.68,47.09,46.63,30.39
128,Africa,Nigeria,52.97,56.96,52.69,49.28,62.48,55.59,52.54,57.23,53.26,64.9,46.92,45.65,71.02,45.82,34.78,45.51
129,Africa,Lesotho,52.9,49.54,51.57,57.6,51.38,49.55,53.85,43.38,72.91,54.51,35.45,43.42,80.97,54.69,63.23,31.52
130,Oceania,Solomon Islands,52.4,57.63,45.75,53.82,74.82,64.72,36.4,54.58,62.13,44.44,26.26,50.18,82.58,61.72,35.9,35.09
131,Africa,Rwanda,52.18,55.49,57.88,43.17,69.61,61.56,49.14,41.66,62.71,52.89,59.34,56.57,46.26,66.23,33.95,26.23
